address,price,beds,baths,link
"6220 Andes Peak Trl, Austin, TX 78747","$435,000",4,3,https://www.zillow.com/homedetails/6220-Andes-Peak-Trl-Austin-TX-78747/305434505_zpid/
"605 Silver Wing Dr, Austin, TX 78725","$339,000",4,3,https://www.zillow.com/homedetails/605-Silver-Wing-Dr-Austin-TX-78725/241937807_zpid/
"11017 Zoeller Dr, Austin, TX 78747","$324,900",4,3,https://www.zillow.com/homedetails/11017-Zoeller-Dr-Austin-TX-78747/251029667_zpid/
"5520 Adair Dr, Austin, TX 78754","$360,000",4,3,https://www.zillow.com/homedetails/5520-Adair-Dr-Austin-TX-78754/94642887_zpid/
"1145 Ibis Falls Loop, Jarrell, TX 76537","$304,999",4,3,https://www.zillow.com/homedetails/1145-Ibis-Falls-Loop-Jarrell-TX-76537/331484587_zpid/
"10328 Bankhead Dr, Austin, TX 78747","$360,000",4,3,https://www.zillow.com/homedetails/10328-Bankhead-Dr-Austin-TX-78747/251033270_zpid/
"5228 Bantom Woods Bnd, Austin, TX 78724","$325,000",4,3,https://www.zillow.com/homedetails/5228-Bantom-Woods-Bnd-Austin-TX-78724/80097164_zpid/
"10207 Buster Dr, Austin, TX 78748","$450,000",4,3,https://www.zillow.com/homedetails/10207-Buster-Dr-Austin-TX-78748/2064145546_zpid/
"3003 Salvidar Bnd, Austin, TX 78728","$419,999",4,3,https://www.zillow.com/homedetails/3003-Salvidar-Bnd-Austin-TX-78728/338244508_zpid/
"6828 Walkup Ln, Austin, TX 78747","$319,500",4,3,https://www.zillow.com/homedetails/6828-Walkup-Ln-Austin-TX-78747/70342397_zpid/
"11036 Short Springs Dr, Austin, TX 78754","$345,000",5,3,https://www.zillow.com/homedetails/11036-Short-Springs-Dr-Austin-TX-78754/80093619_zpid/
"6406 Owl Creek Ln, Austin, TX 78747","$359,000",4,4,https://www.zillow.com/homedetails/6406-Owl-Creek-Ln-Austin-TX-78747/331622261_zpid/
"11345 Church Canyon, Austin, TX 78754","$288,000",4,3,https://www.zillow.com/homedetails/11345-Church-Canyon-Dr-Austin-TX-78754/70339181_zpid/
"1913 Jacey Way, Austin, TX 78725","$390,000",4,3,https://www.zillow.com/homedetails/1913-Jacey-Way-Austin-TX-78725/2082839697_zpid/
"8701 Meridian Oak Ln, Austin, TX 78744","$385,000",4,3,https://www.zillow.com/homedetails/8701-Meridian-Oak-Ln-Austin-TX-78744/70343536_zpid/
"11853 Gaelic Dr, Austin, TX 78754","$389,000",5,3,https://www.zillow.com/homedetails/11853-Gaelic-Dr-Austin-TX-78754/83813599_zpid/
"11220 Pickard Ln, Austin, TX 78748","$450,000",4,3,https://www.zillow.com/homedetails/11220-Pickard-Ln-Austin-TX-78748/29514497_zpid/
"12400 Tay Ter, Austin, TX 78754","$335,000",4,3,https://www.zillow.com/homedetails/12400-Tay-Ter-Austin-TX-78754/70354539_zpid/
"6605 Loretta White Ln, Austin, TX 78744","$380,000",4,3,https://www.zillow.com/homedetails/6605-Loretta-White-Ln-Austin-TX-78744/249890690_zpid/
"7800 Duber Ln, Austin, TX 78747","$375,000",4,3,https://www.zillow.com/homedetails/7800-Duber-Ln-Austin-TX-78747/89546702_zpid/
"2008 Langdale Ln, Austin, TX 78754","$390,000",4,4,https://www.zillow.com/homedetails/2008-Langdale-Ln-Austin-TX-78754/249912766_zpid/
"2509 Wilma Rudolph Rd, Austin, TX 78748","$420,000",4,3,https://www.zillow.com/homedetails/2509-Wilma-Rudolph-Rd-Austin-TX-78748/80098015_zpid/
"9908 Thane Way, Austin, TX 78748","$439,000",4,3,https://www.zillow.com/homedetails/9908-Thane-Way-Austin-TX-78748/2065533837_zpid/
"5912 Berriweather Dr, Austin, TX 78724","$338,000",4,3,https://www.zillow.com/homedetails/5912-Berriweather-Dr-Austin-TX-78724/2069334557_zpid/
"7537 S Glenn St, Austin, TX 78744","$334,875",4,3,https://www.zillow.com/homedetails/7537-S-Glenn-St-Austin-TX-78744/80092805_zpid/
"2025 Wayward Sun Dr, Austin, TX 78754","$379,000",4,3,https://www.zillow.com/homedetails/2025-Wayward-Sun-Dr-Austin-TX-78754/70354431_zpid/
"1203 Diggy Dr, Austin, TX 78748","$450,000",4,3,https://www.zillow.com/homedetails/1203-Diggy-Dr-Austin-TX-78748/2081771273_zpid/
"(undisclosed Address), Austin, TX 78754","$375,000",4,3,https://www.zillow.com/homedetails/Austin-TX-78754/111371631_zpid/
"12305 Kelton Dr, Austin, TX 78754","$385,000",4,3,https://www.zillow.com/homedetails/12305-Kelton-Dr-Austin-TX-78754/60137420_zpid/
"13804 Bavarian Forest Dr, Pflugerville, TX 78660","$439,000",4,3,https://www.zillow.com/homedetails/13804-Bavarian-Forest-Dr-Pflugerville-TX-78660/446368498_zpid/
"10701 Dimitrios Dr, Austin, TX 78747","$400,000",5,4,https://www.zillow.com/homedetails/10701-Dimitrios-Dr-Austin-TX-78747/305428631_zpid/
"1601 Miriam Ave UNIT 100, Austin, TX 78702","$450,000",4,3,https://www.zillow.com/homedetails/1601-Miriam-Ave-UNIT-100-Austin-TX-78702/83125197_zpid/
"7120 Razors Edge Dr, Austin, TX 78744","$385,000",4,3,https://www.zillow.com/homedetails/7120-Razors-Edge-Dr-Austin-TX-78744/145656995_zpid/
"8007 Bramble Bush Dr, Austin, TX 78747","$355,000",4,3,https://www.zillow.com/homedetails/8007-Bramble-Bush-Dr-Austin-TX-78747/29470035_zpid/
"11605 Prado Ranch Blvd, Austin, TX 78725","$369,000",4,3,https://www.zillow.com/homedetails/11605-Prado-Ranch-Blvd-Austin-TX-78725/249890639_zpid/
"10400 Fulton Ave, Austin, TX 78754","$425,000",4,3,https://www.zillow.com/homedetails/10400-Fulton-Ave-Austin-TX-78754/305431369_zpid/
"1512 Arial Dr, Austin, TX 78753","$450,000",4,3,https://www.zillow.com/homedetails/1512-Arial-Dr-Austin-TX-78753/145550746_zpid/
"1700 Strobel Ln, Austin, TX 78748","$399,997",5,3,https://www.zillow.com/homedetails/1700-Strobel-Ln-Austin-TX-78748/80104147_zpid/
"1404 Elbe St, Pflugerville, TX 78660","$418,800",4,3,https://www.zillow.com/homedetails/1404-Elbe-St-Pflugerville-TX-78660/145653311_zpid/
"11732 Saddle Rock Dr, Austin, TX 78725","$440,000",5,3,https://www.zillow.com/homedetails/11732-Saddle-Rock-Dr-Austin-TX-78725/249890705_zpid/
"1901 Crossing Pl APT 2302, Austin, TX 78741","$270,000",4,4,https://www.zillow.com/homedetails/1901-Crossing-Pl-APT-2302-Austin-TX-78741/64519011_zpid/
